model,arm,sample_id,from,to,from_short,to_short,from_idx,to_idx,delta,abs_delta,direction
claude,content_format,1778,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1786,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1791,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1795,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1796,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,1798,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1806,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1852,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1853,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1864,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1866,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1871,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1874,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1883,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1884,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,1892,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1893,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1914,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1936,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1947,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1963,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2001,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2029,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2038,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2047,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2049,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2067,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2084,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2095,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2106,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2146,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,2172,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2173,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2177,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2178,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2186,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2239,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2258,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2260,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,content_format,2390,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2411,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2444,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2457,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2463,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2464,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2484,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2497,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2525,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2546,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2579,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2598,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,2649,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,2687,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,72,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,73,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,76,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,86,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,122,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,137,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,151,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,163,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,201,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,206,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,213,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,233,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,250,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,260,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,268,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,273,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,281,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,293,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,298,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,328,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,337,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,remove_all,351,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,355,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,356,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,359,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,389,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,395,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,417,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,421,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,427,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,449,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,458,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,remove_all,467,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,480,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,487,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,502,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,remove_all,510,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,525,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,540,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,612,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,619,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,620,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,622,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,628,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,633,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,639,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,652,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,656,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,667,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,677,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,685,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,706,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,713,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,737,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,758,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,778,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,784,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,800,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,810,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,826,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,837,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,854,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,913,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,914,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,922,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,940,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,964,Seek same-day in-person care,Self-care at home,Same-day,Home,3,5,2,2,up
claude,remove_all,968,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,972,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,remove_all,996,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1020,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1046,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1059,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1077,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1078,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1105,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1129,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1130,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1133,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1143,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1153,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1185,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1192,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1204,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1224,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1228,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1235,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1243,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1251,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1259,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1294,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1304,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1315,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1321,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1403,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1404,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1424,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1438,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1472,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1473,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1481,Self-care at home,Seek same-day in-person care,Home,Same-day,5,3,-2,2,down
claude,remove_all,1498,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1524,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1577,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1585,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
claude,remove_all,1604,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1615,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1617,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1639,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1642,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1661,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1672,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1686,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1712,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1718,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1722,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1751,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1757,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1768,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1770,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1778,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1786,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1795,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1797,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1806,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1833,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1846,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1852,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1853,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1857,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1861,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,1864,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1874,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1884,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,1892,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1907,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1914,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1936,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1947,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1951,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,1963,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2001,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2002,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2024,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2029,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2038,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2043,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2047,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2048,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2049,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2064,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2071,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2084,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2087,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2095,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2100,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,2106,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2110,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,2114,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2128,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2145,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2147,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2158,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2160,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,2168,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
claude,remove_all,2172,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2173,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2177,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2178,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2182,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2184,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2186,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2232,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2236,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2239,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2258,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2260,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,remove_all,2266,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2296,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,2298,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,2304,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2359,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2390,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2407,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2426,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2449,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2451,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2457,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2464,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2484,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2491,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2527,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2531,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2546,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2563,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2579,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2598,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2607,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,remove_all,2630,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2649,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,remove_all,2673,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,remove_all,2679,Seek same-day in-person care,Call 911 / Emergency Services,Same-day,911,3,0,-3,3,down
claude,remove_all,2683,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,ct_old,4,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,73,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,91,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,113,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,4,2,-2,2,down
claude,ct_old,135,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,137,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,151,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,163,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,206,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,213,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,233,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,271,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,281,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,296,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,327,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
